seed,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,task_idx,base_g0,base_gX,lock_g0,lock_gX,rel_g0,rel_gX,edges
123,cora,0.1,100,30,0.5,20,500,668,0.9894736842105263,0.9834915394139496,1.0,0.9946347503095336,-0.010638297872340496,-0.011330255979857373,5223
123,cora,0.1,100,30,0.5,20,500,693,0.9333333333333333,0.9108543128353281,0.9508771929824561,0.8621543541064796,-0.018796992481203034,0.05346624376982334,5223
123,cora,0.1,100,30,0.5,20,500,700,0.8947368421052632,0.8914568716467189,0.9859649122807017,0.8671068922822947,-0.10196078431372535,0.027314814814814792,5223
123,cora,0.1,100,30,0.5,20,500,706,0.9473684210526315,0.9368551382583574,0.9789473684210527,0.9500619067271977,-0.03333333333333344,-0.014096916299559448,5223
123,cora,0.1,100,30,0.5,20,500,721,0.9438596491228071,0.9422203879488238,0.9859649122807017,0.9426330994634751,-0.044609665427509215,-0.00043802014892690977,5223
123,cora,0.1,100,30,0.5,20,500,747,0.8912280701754386,0.8914568716467189,0.9789473684210527,0.9310771770532398,-0.09842519685039375,-0.04444444444444451,5223
123,cora,0.1,100,30,0.5,20,500,899,0.968421052631579,0.9636813867106893,0.9894736842105263,0.9479983491539414,-0.021739130434782483,0.016274089935760183,5223
123,cora,0.1,100,30,0.5,20,500,931,0.9157894736842105,0.8865043334709038,0.9368421052631579,0.915394139496492,-0.02298850574712641,-0.03258845437616387,5223
123,cora,0.1,100,30,0.5,20,500,1028,0.9859649122807017,0.9905076351630211,0.9929824561403509,0.9826661163846472,-0.007117437722419906,0.007916666666666683,5223
123,cora,0.1,100,30,0.5,20,500,1050,0.9403508771929825,0.8984729673957903,0.9333333333333333,0.963268675196038,0.007462686567164201,-0.07211759301791454,5223
123,cora,0.1,100,30,0.5,20,500,1082,0.9298245614035088,0.9294263309946348,0.9824561403508771,0.9178704085843995,-0.05660377358490565,0.01243339253996456,5223
123,cora,0.1,100,30,0.5,20,500,1159,0.9508771929824561,0.9244737928188197,0.9649122807017544,0.8902187371027651,-0.014760147601476037,0.037053571428571574,5223
123,cora,0.1,100,30,0.5,20,500,1161,0.9438596491228071,0.9558398679323153,0.9859649122807017,0.9962855963681386,-0.044609665427509215,-0.042314335060448904,5223
123,cora,0.1,100,30,0.5,20,500,1279,0.9438596491228071,0.9455220800660339,0.9964912280701754,0.9913330581923235,-0.055762081784386464,-0.04845045831514616,5223
123,cora,0.1,100,30,0.5,20,500,1342,0.9824561403508771,0.9748245976062733,0.9929824561403509,0.9508873297565003,-0.010714285714285676,0.024555461473327655,5223
123,cora,0.1,100,30,0.5,20,500,1356,0.8807017543859649,0.872472141972761,0.9649122807017544,0.9158068510111432,-0.09561752988047822,-0.04966887417218557,5223
123,cora,0.1,100,30,0.5,20,500,1402,0.9614035087719298,0.9550144449030128,0.9964912280701754,0.9566652909616178,-0.03649635036496357,-0.0017286084701815252,5223
