dataset,feature,entropy,information_gain,mutual_information,chi_sq
cora,944,0.038115520030260086,0.0032139264413071703,0.003213865900761448,0.0032429048005724326
cora,945,0.14728909730911255,0.0019154507760371364,0.0019156674097757787,0.002676312837138539
cora,946,0.029079947620630264,0.0017951067820455545,0.0017951499394257553,0.0016628867624604027
cora,947,0.022730788215994835,0.0014598177129642141,0.0014596988366974983,0.001347125433085239
cora,948,0.008748294785618782,0.0013449326607411077,0.0013448382960632443,0.0026524310831064213
cora,949,0.029079947620630264,0.002136183268441498,0.0021362360967032146,0.0022166292401379906
cora,950,0.012474066577851772,0.0019153089137359958,0.001915236709464807,0.0025624916570450296
cora,951,0.03515917807817459,0.002189403996862023,0.0021894237434025854,0.00233039886552433
cora,952,0.03515917807817459,0.0037940142282795186,0.0037940018519293517,0.004672587831009878
cora,953,0.04949117824435234,0.00961791240284151,0.009617820149287581,0.012869550424511544
cora,954,0.03515917807817459,0.006752178350812928,0.006752154848072678,0.009445486008189619
cora,955,0.038115520030260086,0.002684619755070089,0.0026846184991882183,0.002584658601335832
cora,956,0.025943651795387268,0.001956646121554134,0.001956593983777566,0.0018973881037709361
cora,957,0.08545757830142975,0.005569672306925275,0.005569523498706985,0.00917397747252835
cora,958,0.04949117824435234,0.007288978590548834,0.0072890002047643065,0.014646807336248457
cora,959,0.10873148590326309,0.004776565895926219,0.004776492815835809,0.008101848463411443
cora,960,0.060288552194833755,0.005553754041056694,0.005553793864237377,0.007068127022648696
cora,961,0.04102307930588722,0.0020257386680213735,0.00202564390929183,0.0022168692339619156
cora,962,0.06551086157560349,0.0025196458863718935,0.0025196850474458188,0.00303203662224405
cora,963,0.1411086767911911,0.0004175284786626099,0.00041743631300050765,0.0005287518870318308
cora,964,0.05495308339595795,0.010908180041626608,0.010908054886385798,0.014596332694054581
cora,965,0.03515917807817459,0.009562610275768286,0.00956264317210298,0.02001362208102364
cora,966,0.022730788215994835,0.0023088048994981403,0.0023087136178219225,0.0032788324365355948
cora,967,0.16138309240341187,0.011632679403103363,0.011632675654254854,0.013146247452823445
cora,968,0.01942843571305275,0.004990732872327638,0.0049906950880540535,0.010134051775821717
cora,969,0.3733760118484497,0.020372894569196887,0.02037287049461156,0.026624931255355477
cora,970,0.04388607293367386,0.0033454218538178093,0.0033453173764428357,0.0035591723699326394
cora,971,0.1902265101671219,0.02670476256568466,0.026704688440077007,0.041164656286127865
cora,972,0.04388607293367386,0.0045050776630992245,0.004505196477111895,0.007438642485794844
cora,973,0.10647308081388474,0.0030277708911253115,0.0030277542591647943,0.0035585034856921993
cora,974,0.04388607293367386,0.0024316959355461243,0.002431569271720946,0.0038753355947847012
cora,975,0.060288552194833755,0.0031763993002793464,0.0031763940933160484,0.0034206936306873104
cora,976,0.04670776426792145,0.008456580078111002,0.008456495881546289,0.015789133714861237
cora,977,0.008748294785618782,0.0019930503062870865,0.0019930540656787343,0.004049127826419863
cora,978,0.22278624773025513,0.0025616935626266435,0.0025618028303142637,0.0032377382231061347
cora,979,0.1348375827074051,0.003039541361272935,0.003039626230020076,0.004416720890731085
cora,980,0.038115520030260086,0.0026910457914169628,0.002690989786060527,0.0032232004932666314
cora,981,0.09729364514350891,0.0007190919389048755,0.0007190886535681784,0.0009646781063565868
cora,982,0.01942843571305275,0.0031944933722959507,0.003194459233782254,0.004273979695426533
cora,983,0.029079947620630264,0.006312130111238011,0.006312124613032211,0.01175750303445966
cora,984,0.029079947620630264,0.008750684597863757,0.008750694338232279,0.01989659032187774
cora,985,0.11542468518018723,0.0015507126598449938,0.0015506638010265306,0.0023483775985368993
cora,986,0.12200183421373367,0.0031919735133031646,0.003191953568602912,0.0036138595569354948
cora,987,0.08303704112768173,0.0019992825449987733,0.001999326530494727,0.0031488569584325887
cora,988,0.1883557289838791,0.016572544114606458,0.016572668973822147,0.026194418082013726
cora,989,0.01942843571305275,0.0011535680342460164,0.0011536604361026548,0.0011928802532565896
cora,990,0.032149359583854675,0.003018468453313612,0.0030183496332938375,0.0045698451167481835
cora,991,0.01942843571305275,0.0018176597500415281,0.0018175852455897257,0.0018489811423023639
cora,992,0.060288552194833755,0.002084669533242066,0.0020847752457484603,0.0028835442735726247
cora,993,0.05763576552271843,0.004700651161229592,0.00470063513785135,0.00679277875678963
