seed,method,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,base_g0,base_gX,d_g0,d_gX,edges,dH_g0,dH_gX,dH_g0gX
123,noise,cora,0.1,100,30,0.5,20,500,0.7438596487045288,0.758563756942749,-0.42897735003565185,-0.012476834526272773,5289.0,-1748,0,0
123,simplistic1,citeseer,0.1,100,30,0.1,20,500,0.6068376302719116,0.6430259943008423,0.0015299971342911181,-0.009997313920041528,104,-24,0,0
123,simplistic2,citeseer,0.1,100,30,0.1,20,500,0.6068376302719116,0.6430259943008423,-0.24152897282981323,-0.04667723670105348,1862,-24,0,-417
123,SLL,citeseer,0.1,100,30,0.1,20,500,0.6438746452331543,0.6511313319206238,-0.5414414509089026,-0.07184933265590183,879.0,-154,-55,-528
123,SLLnoSample,citeseer,0.1,100,30,0.1,20,500,0.6752136945724487,0.6778115034103394,-0.22377821403404083,-0.04247364704117167,917.0,-29,-28,-386
123,noise,citeseer,0.1,100,30,0.1,20,500,0.6438746452331543,0.6372846961021423,-0.20122179891027261,-0.029058074978099646,963.0,-250,0,0
123,SLL,citeseer,0.1,100,30,0.25,20,500,0.6438746452331543,0.6511313319206238,-0.7663056450909171,-0.11190999346579175,2218.0,-321,-102,-1341
123,SLLnoSample,citeseer,0.1,100,30,0.25,20,500,0.6752136945724487,0.6778115034103394,-0.29340210438948844,-0.05434195236131918,2331.0,-84,-78,-998
123,noise,citeseer,0.1,100,30,0.25,20,500,0.6438746452331543,0.6372846961021423,-0.23230718171391665,0.0003225733201969831,2309.0,-667,0,0
123,SLL,citeseer,0.1,100,30,0.5,20,500,0.6438746452331543,0.6511313319206238,-0.8612906494997561,-0.12003120100211839,4552.0,-580,-194,-2692
123,SLLnoSample,citeseer,0.1,100,30,0.5,20,500,0.6752136945724487,0.6778115034103394,-0.37023917856072697,-0.05371704785925522,4457.0,-140,-407,-1498
123,noise,citeseer,0.1,100,30,0.5,20,500,0.6438746452331543,0.6372846961021423,-0.31005105346626893,0.01110924340776005,4639.0,-1466,0,0
123,simplistic1,Polblogs,0.1,100,30,0.1,20,500,0.807947039604187,0.8491411805152893,-0.012116601703228301,-0.0020502954058844846,298,-119,0,0
123,simplistic2,Polblogs,0.1,100,30,0.1,20,500,0.807947039604187,0.8491411805152893,-0.3226176083907978,-0.0017638799722629944,5756,-119,0,-2239
123,SLL,Polblogs,0.1,100,30,0.1,20,500,0.8278145790100098,0.8506348133087158,-0.34916732272501516,0.009330327622643474,2046.0,-142,117,-521
123,SLLnoSample,Polblogs,0.1,100,30,0.1,20,500,0.7615894079208374,0.8513816595077515,-0.7106571096544461,0.06124467099811501,3336.0,15,181,-991
123,noise,Polblogs,0.1,100,30,0.1,20,500,0.8211920261383057,0.8379387855529785,-0.0749191700703147,-0.007769964823937193,3339.0,-61,0,0
