dataname,debias_method,epochs,seed,debias_attr,reg_weight,temp,der1,ratio,f1_0,f1_1,f1_2,link
LastFM,opposite-r,200,100,0,10.0,1.0,0.2,5.0,0.7507869884575026,0.7182581322140608,0.6815320041972718,0.3934776420028737
LastFM,aug-r,200,100,0,10.0,1.0,0.2,5.0,0.7555089192025184,0.7224554039874082,0.6794333683105981,0.3825777766967719
LastFM,r,200,100,0,10.0,1.0,0.2,5.0,0.7465897166841553,0.726128016789087,0.6747114375655824,0.3915407350906631
LastFM,opposite-r,200,100,0,10.0,1.0,0.2,5.0,0.7502623294858343,0.7313746065057712,0.6647429171038824,0.3973727563941537
LastFM,aug-r,200,100,1,10.0,1.0,0.2,5.0,0.7570828961175237,0.7166841552990556,0.6778593913955928,0.3841923609343012
LastFM,r,200,100,0,10.0,1.0,0.2,5.0,0.7360965372507869,0.7266526757607555,0.6736621196222455,0.4182403735027552
LastFM,opposite,200,100,2,10.0,1.0,0.2,10.0,0.7544596012591815,0.720881427072403,0.6836306400839455,0.496949191458108
LastFM,opposite-r,200,100,1,10.0,1.0,0.2,5.0,0.7513116474291711,0.7313746065057712,0.6762854144805877,0.339228205891029
LastFM,aug,200,100,2,10.0,1.0,0.2,10.0,0.7570828961175237,0.726128016789087,0.6710388247639034,0.4926791901687442
LastFM,r,200,100,1,10.0,1.0,0.2,5.0,0.7612801678908709,0.7187827911857292,0.6715634837355718,0.408941231563295
LastFM,aug-n,200,100,2,10.0,1.0,0.2,10.0,0.7591815320041972,0.7187827911857292,0.683105981112277,0.4957908619282591
LastFM,aug-r,200,100,2,10.0,1.0,0.2,5.0,0.74501573976915,0.7224554039874082,0.6547743966421826,0.4533467454085458
LastFM,aug-r,200,100,2,10.0,1.0,0.2,10.0,0.7465897166841553,0.7329485834207765,0.6563483735571878,0.46056386377297875
LastFM,opposite-r,200,100,2,10.0,1.0,0.2,5.0,0.7371458551941239,0.7046169989506821,0.661594963273872,0.46078420074067616
LastFM,opposite-r,200,100,2,10.0,1.0,0.2,10.0,0.729800629590766,0.7067156348373557,0.6390346274921301,0.4503242189110565
LastFM,r,200,100,2,10.0,1.0,0.2,5.0,0.7476390346274921,0.7266526757607555,0.667890870933893,0.4488152935879241
LastFM,r,200,100,2,10.0,1.0,0.2,10.0,0.7350472193074502,0.7240293809024134,0.642707240293809,0.4603197418398867
LastFM,aug-r,200,100,0,10.0,1.0,0.2,10.0,0.7402938090241343,0.7245540398740817,0.6768100734522561,0.4216135761625525
LastFM,opposite,200,100,1,10.0,1.0,0.2,10.0,0.7597061909758657,0.7182581322140608,0.6836306400839455,0.49420590860456154
LastFM,opposite-r,200,100,0,10.0,1.0,0.2,10.0,0.7513116474291711,0.7161594963273872,0.6768100734522561,0.3680989205724343
LastFM,aug,200,100,1,10.0,1.0,0.2,10.0,0.753934942287513,0.727177334732424,0.6752360965372508,0.49601587229883365
LastFM,aug-n,200,100,1,10.0,1.0,0.2,10.0,0.7597061909758657,0.7203567681007346,0.6815320041972718,0.49592393893229697
