dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,changes_g0,changes_gX,changes_g0gX,num_classes,edges_modified,orig_edges,f1_g0_base_0,f1_gX_base_0,f1_g0_lock_0,f1_gX_lock_0,d_g0_0,d_gX_0,num_classes_0,f1_g0_base_1,f1_gX_base_1,f1_g0_lock_1,f1_gX_lock_1,d_g0_1,d_gX_1,num_classes_1
BlogCatalog,124,config3.yml,bias,0.1,30,sll,0.25,0.014705882352941175,0.0666666666666666,0.40107602638826617,0.5523156089193825,0.40122090243812747,0.40107602638826617,0.23504485811975803,0.39970277988227754,0.31827067345171917,-0.574437415267643,-0.0037837573930586603,-0.20645799671004605,66378.0,2654.0,102652.0,6,85842,171743,0.6698113207547169,0.6778523489932886,0.3113207547169811,0.6375838926174496,-0.5352112676056338,-0.05940594059405948,6,0.6415094339622641,0.6208053691275168,0.6509433962264151,0.6621923937360179,0.014705882352941175,0.0666666666666666,2
BlogCatalog,124,config3.yml,bias,0.1,30,sll_no_g,0.25,-0.028169014084507036,0.010204081632653047,0.40107602638826617,0.5523156089193825,0.40122090243812747,0.40107602638826617,0.3573481116584565,0.4032201684988479,0.3708475167124636,-0.3530001580842232,0.004982955894299989,-0.07536852787740433,5204.0,8744.0,33638.0,6,23793,171743,0.7169811320754716,0.6733780760626398,0.39622641509433965,0.6923937360178971,-0.4473684210526315,0.028239202657807407,6,0.6698113207547169,0.6577181208053692,0.6509433962264151,0.6644295302013423,-0.028169014084507036,0.010204081632653047,2
BlogCatalog,124,config3.yml,bias,0.1,30,noise,0.25,-0.014285714285714284,0.01030927835051562,0.40107602638826617,0.5523156089193825,0.40122090243812747,0.40107602638826617,0.2214216873134153,0.40122090243812747,0.3396282019544742,-0.5991029698642202,0.0,-0.15320742300938905,171396.0,0.0,0.0,6,85698,171743,0.7830188679245284,0.6789709172259508,0.4528301886792453,0.6554809843400448,-0.42168674698795183,-0.034596375617792455,6,0.660377358490566,0.6510067114093959,0.6509433962264151,0.6577181208053692,-0.014285714285714284,0.01030927835051562,2
BlogCatalog,124,config3.yml,bias,0.1,30,heuristic,0.25,-0.014285714285714284,-0.021812080536912748,0.40107602638826617,0.5523156089193825,0.40122090243812747,0.40107602638826617,nan,0.40122090243812747,0.40122090243812747,nan,0.0,0.00036121842326484224,4664.0,0.0,66892.0,6,35778,171743,0.6792452830188679,0.6935123042505593,0.05660377358490566,0.6823266219239373,-0.9166666666666666,-0.0161290322580646,6,0.660377358490566,0.6666666666666666,0.6509433962264151,0.6521252796420581,-0.014285714285714284,-0.021812080536912748,2
Polblogs,124,config3.yml,bias,0.1,30,sll,0.25,0.0,0.0,0.905773257553096,0.9272727272727272,0.9059205776173285,0.905773257553096,0.5607476635514018,0.8967488634798182,0.7947358454838099,-0.3952721275426059,-0.010124192301308468,-0.12258852990344232,1406.0,1344.0,6128.0,2,4439,16715,0.8850574712643678,0.8760139049826188,0.3563218390804598,0.8482039397450754,-0.5974025974025974,-0.03174603174603171,2,1.0,0.9988412514484357,1.0,0.9988412514484357,0.0,0.0,2
Polblogs,124,config3.yml,bias,0.1,30,sll_no_g,0.25,0.0,0.0,0.905773257553096,0.9272727272727272,0.9059205776173285,0.905773257553096,0.8037383177570093,0.9090619829451445,0.8145042868646677,-0.13322338281106835,0.0034676387814020983,-0.1007635961068084,312.0,3772.0,4772.0,2,4428,16715,0.8850574712643678,0.8679026651216686,0.3103448275862069,0.8876013904982619,-0.6493506493506492,0.022696929238985385,2,1.0,0.9988412514484357,1.0,0.9988412514484357,0.0,0.0,2
Polblogs,124,config3.yml,bias,0.1,30,noise,0.25,0.0,0.0,0.905773257553096,0.9272727272727272,0.9059205776173285,0.905773257553096,0.6500427820559834,0.9059205776173285,0.8210343293841738,-0.29897347033178256,0.0,-0.09355423938860868,16504.0,0.0,0.0,2,8252,16715,0.8620689655172413,0.8748551564310545,0.367816091954023,0.8702201622247973,-0.5733333333333334,-0.0052980132450331065,2,1.0,0.9988412514484357,1.0,0.9988412514484357,0.0,0.0,2
Polblogs,124,config3.yml,bias,0.1,30,heuristic,0.25,0.0,0.0,0.905773257553096,0.9272727272727272,0.9059205776173285,0.905773257553096,nan,0.9059205776173285,0.9059205776173285,nan,0.0,0.0001626456323411858,330.0,0.0,5400.0,2,2865,16715,0.8620689655172413,0.8702201622247973,0.8045977011494253,0.8655851680185399,-0.06666666666666658,-0.005326231691078683,2,1.0,0.9988412514484357,1.0,0.9988412514484357,0.0,0.0,2
flickr,124,config3.yml,bias,0.1,30,sll,0.25,0.0,0.0,0.2385854557892366,0.27729157070474436,0.24033464896908002,0.2385854557892366,0.13831296149513997,0.23922844318685643,0.20409453678548306,-0.5012002667675268,-0.004602772787730279,-0.14456421448515444,92990.0,7784.0,83018.0,9,91896,239738,0.3368421052631579,0.44972375690607735,0.07368421052631578,0.4961325966850828,-0.78125,0.10319410319410303,9,1.0,0.9845303867403314,1.0,0.9845303867403314,0.0,0.0,2
flickr,124,config3.yml,bias,0.1,30,sll_no_g,0.25,0.0,0.0,0.2385854557892366,0.27729157070474436,0.24033464896908002,0.2385854557892366,0.2086975058622895,0.24380938315364545,0.22845898845540064,-0.24737161922420184,0.014457899430940828,-0.042443774706793336,5048.0,12618.0,38284.0,9,27975,239738,0.4315789473684211,0.481767955801105,0.2631578947368421,0.49281767955801103,-0.3902439024390245,0.022935779816513704,9,1.0,0.9845303867403314,1.0,0.9845303867403314,0.0,0.0,2
