label,index,num_edges,num_nodes,density,num_triangles,max_diameter,seed,subgraph_size,num_save,batch_size,timesteps,epochs,method,dataset
train,47,76,32,2.375,7,17,123,32,50,64,200,5,walk,cora
train,48,82,32,2.5625,7,9,123,32,50,64,200,5,walk,cora
train,49,128,32,4.0,30,4,123,32,50,64,200,5,walk,cora
pred,0,172,32,5.375,34,5,123,32,50,64,200,5,walk,cora
pred,1,262,32,8.1875,138,4,123,32,50,64,200,5,walk,cora
pred,2,287,32,8.96875,136,3,123,32,50,64,200,5,walk,cora
pred,3,185,32,5.78125,47,5,123,32,50,64,200,5,walk,cora
pred,4,262,32,8.1875,132,4,123,32,50,64,200,5,walk,cora
pred,5,137,32,4.28125,21,5,123,32,50,64,200,5,walk,cora
pred,6,233,32,7.28125,68,4,123,32,50,64,200,5,walk,cora
pred,7,168,32,5.25,39,5,123,32,50,64,200,5,walk,cora
pred,8,216,32,6.75,64,4,123,32,50,64,200,5,walk,cora
pred,9,184,32,5.75,40,5,123,32,50,64,200,5,walk,cora
pred,10,236,32,7.375,83,4,123,32,50,64,200,5,walk,cora
pred,11,165,32,5.15625,31,6,123,32,50,64,200,5,walk,cora
pred,12,219,32,6.84375,71,4,123,32,50,64,200,5,walk,cora
pred,13,303,32,9.46875,177,4,123,32,50,64,200,5,walk,cora
pred,14,174,32,5.4375,41,5,123,32,50,64,200,5,walk,cora
pred,15,190,32,5.9375,45,4,123,32,50,64,200,5,walk,cora
pred,16,304,32,9.5,148,3,123,32,50,64,200,5,walk,cora
pred,17,203,32,6.34375,63,4,123,32,50,64,200,5,walk,cora
pred,18,248,32,7.75,91,4,123,32,50,64,200,5,walk,cora
pred,19,208,32,6.5,62,4,123,32,50,64,200,5,walk,cora
pred,20,180,32,5.625,44,6,123,32,50,64,200,5,walk,cora
pred,21,259,32,8.09375,102,3,123,32,50,64,200,5,walk,cora
pred,22,250,32,7.8125,102,4,123,32,50,64,200,5,walk,cora
pred,23,236,32,7.375,95,4,123,32,50,64,200,5,walk,cora
pred,24,228,32,7.125,69,4,123,32,50,64,200,5,walk,cora
pred,25,246,32,7.6875,89,4,123,32,50,64,200,5,walk,cora
pred,26,228,32,7.125,92,5,123,32,50,64,200,5,walk,cora
pred,27,216,32,6.75,64,4,123,32,50,64,200,5,walk,cora
pred,28,222,32,6.9375,66,4,123,32,50,64,200,5,walk,cora
pred,29,247,32,7.71875,97,4,123,32,50,64,200,5,walk,cora
pred,30,298,32,9.3125,143,3,123,32,50,64,200,5,walk,cora
pred,31,270,32,8.4375,139,3,123,32,50,64,200,5,walk,cora
pred,32,273,32,8.53125,119,3,123,32,50,64,200,5,walk,cora
pred,33,288,32,9.0,115,3,123,32,50,64,200,5,walk,cora
pred,34,206,32,6.4375,63,4,123,32,50,64,200,5,walk,cora
pred,35,209,32,6.53125,56,5,123,32,50,64,200,5,walk,cora
pred,36,211,32,6.59375,72,4,123,32,50,64,200,5,walk,cora
pred,37,142,32,4.4375,22,5,123,32,50,64,200,5,walk,cora
pred,38,205,32,6.40625,44,4,123,32,50,64,200,5,walk,cora
pred,39,216,32,6.75,68,4,123,32,50,64,200,5,walk,cora
pred,40,244,32,7.625,71,3,123,32,50,64,200,5,walk,cora
pred,41,250,32,7.8125,98,5,123,32,50,64,200,5,walk,cora
pred,42,224,32,7.0,72,4,123,32,50,64,200,5,walk,cora
pred,43,305,32,9.53125,153,3,123,32,50,64,200,5,walk,cora
pred,44,193,32,6.03125,39,4,123,32,50,64,200,5,walk,cora
pred,45,215,32,6.71875,64,5,123,32,50,64,200,5,walk,cora
pred,46,176,32,5.5,37,4,123,32,50,64,200,5,walk,cora
pred,47,234,32,7.3125,87,5,123,32,50,64,200,5,walk,cora
pred,48,233,32,7.28125,76,4,123,32,50,64,200,5,walk,cora
pred,49,216,32,6.75,69,4,123,32,50,64,200,5,walk,cora
train,0,34,16,2.125,1,7,123,16,50,64,400,5,walk,cora
train,1,52,16,3.25,11,4,123,16,50,64,400,5,walk,cora
train,2,40,16,2.5,4,10,123,16,50,64,400,5,walk,cora
train,3,38,16,2.375,0,5,123,16,50,64,400,5,walk,cora
train,4,50,16,3.125,8,5,123,16,50,64,400,5,walk,cora
train,5,32,16,2.0,0,8,123,16,50,64,400,5,walk,cora
train,6,44,16,2.75,1,6,123,16,50,64,400,5,walk,cora
train,7,30,16,1.875,0,5,123,16,50,64,400,5,walk,cora
train,8,36,16,2.25,2,11,123,16,50,64,400,5,walk,cora
train,9,38,16,2.375,2,6,123,16,50,64,400,5,walk,cora
train,10,38,16,2.375,1,10,123,16,50,64,400,5,walk,cora
train,11,40,16,2.5,3,4,123,16,50,64,400,5,walk,cora
train,12,56,16,3.5,15,6,123,16,50,64,400,5,walk,cora
train,13,40,16,2.5,2,9,123,16,50,64,400,5,walk,cora
train,14,34,16,2.125,1,7,123,16,50,64,400,5,walk,cora
train,15,30,16,1.875,0,10,123,16,50,64,400,5,walk,cora
train,16,38,16,2.375,1,8,123,16,50,64,400,5,walk,cora
train,17,34,16,2.125,1,11,123,16,50,64,400,5,walk,cora
train,18,30,16,1.875,1,5,123,16,50,64,400,5,walk,cora
train,19,52,16,3.25,8,5,123,16,50,64,400,5,walk,cora
train,20,34,16,2.125,1,11,123,16,50,64,400,5,walk,cora
train,21,42,16,2.625,9,5,123,16,50,64,400,5,walk,cora
train,22,30,16,1.875,0,12,123,16,50,64,400,5,walk,cora
train,23,40,16,2.5,3,6,123,16,50,64,400,5,walk,cora
train,24,36,16,2.25,3,10,123,16,50,64,400,5,walk,cora
train,25,34,16,2.125,1,9,123,16,50,64,400,5,walk,cora
train,26,34,16,2.125,3,7,123,16,50,64,400,5,walk,cora
train,27,32,16,2.0,1,8,123,16,50,64,400,5,walk,cora
train,28,36,16,2.25,3,10,123,16,50,64,400,5,walk,cora
train,29,36,16,2.25,2,6,123,16,50,64,400,5,walk,cora
train,30,34,16,2.125,2,9,123,16,50,64,400,5,walk,cora
train,31,36,16,2.25,2,8,123,16,50,64,400,5,walk,cora
train,32,44,16,2.75,7,8,123,16,50,64,400,5,walk,cora
train,33,42,16,2.625,7,8,123,16,50,64,400,5,walk,cora
train,34,46,16,2.875,7,5,123,16,50,64,400,5,walk,cora
train,35,40,16,2.5,2,8,123,16,50,64,400,5,walk,cora
train,36,42,16,2.625,5,4,123,16,50,64,400,5,walk,cora
train,37,28,16,1.75,0,6,123,16,50,64,400,5,walk,cora
train,38,34,16,2.125,2,6,123,16,50,64,400,5,walk,cora
train,39,42,16,2.625,6,7,123,16,50,64,400,5,walk,cora
train,40,38,16,2.375,4,9,123,16,50,64,400,5,walk,cora
train,41,46,16,2.875,8,7,123,16,50,64,400,5,walk,cora
train,42,48,16,3.0,7,3,123,16,50,64,400,5,walk,cora
train,43,36,16,2.25,2,10,123,16,50,64,400,5,walk,cora
train,44,40,16,2.5,4,10,123,16,50,64,400,5,walk,cora
train,45,38,16,2.375,3,8,123,16,50,64,400,5,walk,cora
train,46,54,16,3.375,9,4,123,16,50,64,400,5,walk,cora
train,47,44,16,2.75,9,4,123,16,50,64,400,5,walk,cora
train,48,46,16,2.875,8,7,123,16,50,64,400,5,walk,cora
train,49,40,16,2.5,7,11,123,16,50,64,400,5,walk,cora
pred,0,28,16,1.75,0,7,123,16,50,64,400,5,walk,cora
pred,1,22,16,1.375,0,6,123,16,50,64,400,5,walk,cora
pred,2,22,16,1.375,0,5,123,16,50,64,400,5,walk,cora
pred,3,28,16,1.75,1,7,123,16,50,64,400,5,walk,cora
pred,4,20,16,1.25,0,4,123,16,50,64,400,5,walk,cora
pred,5,18,16,1.125,0,3,123,16,50,64,400,5,walk,cora
pred,6,43,16,2.6875,4,5,123,16,50,64,400,5,walk,cora
pred,7,24,16,1.5,0,4,123,16,50,64,400,5,walk,cora
pred,8,26,16,1.625,0,8,123,16,50,64,400,5,walk,cora
pred,9,28,16,1.75,0,8,123,16,50,64,400,5,walk,cora
pred,10,31,16,1.9375,2,8,123,16,50,64,400,5,walk,cora
