dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,lr,s,u,H0_s,H1_s,H0_u,H1_u,MI,dacc_s_g0,dacc_s_gX,dacc_u_g0,dacc_u_gX,e,edges_modified,classes_s,classes_u,num_edges,num_nodes
chameleon,123,config.yml,random,0.1,30,noise,0.25,1000,taskB,taskA,0.9459373306557012,0.8040547803839787,0.23126454368684454,0.21920753337776536,0.02017130615422502,-0.3437499825027767,0.009372748703118178,-0.41489361476822645,0.05308643853749829,-0.00868444502483328,15510,2,5,62742,2277
chameleon,123,config.yml,random,0.1,30,noise,0.25,1000,taskC,taskB,0.8430078735137547,0.7675488573087094,0.9459373306557012,0.8040547803839787,0.17111899703741074,-0.03846155024139157,-0.012227059129978672,-0.364197539967056,-0.005726506605247109,-0.3436895554608902,15510,2,2,62742,2277
chameleon,123,config.yml,random,0.1,30,noise,0.25,1000,taskA,taskB,0.23126454368684454,0.21920753337776536,0.9459373306557012,0.8040547803839787,0.020171400741674006,-0.43298968172932367,0.01606922411791466,-0.335443051132879,0.0079023285912523,0.12151818330561166,15510,5,2,62742,2277
BlogCatalog,123,config.yml,many_clusters,0.1,30,noise,0.25,500,taskB,taskC,0.5369360032141048,0.5239274892779188,0.5117006224416716,0.5111941352333843,0.002825789153575897,-0.1159420238776107,-0.0867051915817495,-0.016393391972617945,-0.030303012749254617,-0.01745957242601136,85738,2,2,343486,5196
BlogCatalog,123,config.yml,many_clusters,0.1,30,noise,0.25,500,taskB,taskA,0.5369360032141048,0.5239274892779188,0.40107602638826617,0.3290660189709223,0.14878023229539394,-0.13888887716112341,-0.03578949835610736,-0.33333331982294695,0.01830286833284588,-0.21193107268508501,85738,2,6,343486,5196
BlogCatalog,123,config.yml,many_clusters,0.1,30,noise,0.25,500,taskC,taskB,0.5117006224416716,0.5111941352333843,0.5369360032141048,0.5239274892779188,0.002825789153575897,-0.11475404280867775,-0.031645565332080655,-0.05797101193880535,0.01848051289891353,0.04361797843670528,85738,2,2,343486,5196
BlogCatalog,123,config.yml,many_clusters,0.1,30,noise,0.25,500,taskA,taskB,0.40107602638826617,0.3290660189709223,0.5369360032141048,0.5239274892779188,0.14878023229539394,-0.31168829938335524,0.01298701750084089,0.02941176207626575,-0.03474907225106394,0.31933800670939794,85738,6,2,343486,5196
cora,123,config.yml,many_clusters,0.1,30,noise,0.25,1000,taskB,taskC,0.6885183781735505,0.6568024596464258,0.8353543008715423,0.820778888034845,0.0015414711087942123,0.2580644908234192,0.006814266711553479,0.0,-0.0012329883315559875,-0.2524832124434217,2600,2,2,10556,2708
cora,123,config.yml,many_clusters,0.1,30,noise,0.25,1000,taskB,taskA,0.6885183781735505,0.6568024596464258,0.8099658961727927,0.6765308736869075,0.1309946496039629,0.10144931494851706,0.017035803554787503,-0.2307692127820306,0.004823185159229047,-0.3103595390165311,2600,2,7,10556,2708
cora,123,config.yml,many_clusters,0.1,30,noise,0.25,1000,taskC,taskB,0.8353543008715423,0.820778888034845,0.6885183781735505,0.6568024596464258,0.0015414711087942123,0.0,-0.006242241051072711,0.1746032144297102,-0.048414007708668313,0.11994696566996917,2600,2,2,10556,2708
cora,123,config.yml,many_clusters,0.1,30,noise,0.25,1000,taskA,taskB,0.8099658961727927,0.6765308736869075,0.6885183781735505,0.6568024596464258,0.1309946496039629,-0.2179487399330737,0.06890750678260325,-0.20967744782365338,-0.04490504679459843,0.032273752097425126,2600,7,2,10556,2708
chameleon,123,config.yml,many_clusters,0.1,30,noise,0.25,1000,taskB,taskC,0.9459373306557012,0.8003127476811688,0.8430078735137547,0.7363708416339996,0.17111899703741074,-0.12751679622688294,0.012292114600067175,-0.1711711886399127,0.01026521523454589,-0.02109706257841669,15518,2,2,62742,2277
chameleon,123,config.yml,many_clusters,0.1,30,noise,0.25,1000,taskB,taskA,0.9459373306557012,0.8003127476811688,0.23126454368684454,0.2245571192939614,0.02017130615422502,0.006711393800126942,0.00502873028726106,-0.5508474596433344,-0.09079899660159305,-0.6433291197577933,15518,2,5,62742,2277
chameleon,123,config.yml,many_clusters,0.1,30,noise,0.25,1000,taskC,taskB,0.8430078735137547,0.7363708416339996,0.9459373306557012,0.8003127476811688,0.17111899703741074,-0.11403507187792794,0.005172429313699057,-0.3006535687869879,-0.007127585010115201,-0.18857365260547612,15518,2,2,62742,2277
chameleon,123,config.yml,many_clusters,0.1,30,noise,0.25,1000,taskA,taskB,0.23126454368684454,0.2245571192939614,0.9459373306557012,0.8003127476811688,0.020171400741674006,-0.14285714285714285,-0.037426946248055405,-0.2649006581474808,0.005710183359897891,-0.15376027817849547,15518,5,2,62742,2277
