dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,f1_g0_base,f1_gX_base,f1_g0_lock,f1_gX_lock,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,num_classes,edges_modified,orig_edges
BlogCatalog,124,config2.yml,bias,0.1,30,sll_no_g,0.25,0.7189292543021033,0.6901565995525727,0.5946462715105163,0.6633109619686801,-0.1728723404255319,-0.03889789303079411,0.40107602638826617,0.5523156089193825,0.40122090243812747,0.40107602638826617,0.426049908703591,0.40095299476432206,0.386338554792377,-0.2286115007012622,-0.0006677310981990183,-0.03674483296496609,6,10568,171743
BlogCatalog,124,config2.yml,bias,0.1,30,noise,0.25,0.7246653919694072,0.6823266219239373,0.45506692160611856,0.6991051454138703,-0.3720316622691292,0.024590163934426278,0.40107602638826617,0.5523156089193825,0.40122090243812747,0.40107602638826617,0.22357182408312815,0.40122090243812747,0.34043933745457977,-0.5952100203712307,0.0,-0.15118502464414657,6,85395,171743
flickr,124,config2.yml,bias,0.1,30,sll,0.25,0.46749654218533887,0.4950276243093923,0.2946058091286307,0.4707182320441989,-0.3698224852071006,-0.04910714285714293,0.2385854557892366,0.27729157070474436,0.24033464896908002,0.2385854557892366,0.16106850039672044,0.24028501682390974,0.2329989789176527,-0.4191366871075082,-0.00020651264968736042,-0.023414993395569423,9,10057,239738
flickr,124,config2.yml,bias,0.1,30,sll_no_g,0.25,0.4287690179806362,0.487292817679558,0.24896265560165975,0.46519337016574586,-0.4193548387096774,-0.045351473922902494,0.2385854557892366,0.27729157070474436,0.24033464896908002,0.2385854557892366,0.22839969947407965,0.24323743667123,0.23009766316989386,-0.1763193562155699,0.012078107399834061,-0.0355754821318226,9,20038,239738
flickr,124,config2.yml,bias,0.1,30,noise,0.25,0.45919778699861685,0.4839779005524862,0.2863070539419087,0.5049723756906077,-0.37650602409638556,0.04337899543378991,0.2385854557892366,0.27729157070474436,0.24033464896908002,0.2385854557892366,0.14251537935748462,0.24033464896908002,0.20611523971213846,-0.48604503557292505,0.0,-0.13609470019740813,9,119825,239738
cora,124,config2.yml,many_clusters,0.1,30,sll,0.25,0.7888888888888889,0.7377777777777778,0.26296296296296295,0.6988888888888889,-0.6666666666666666,-0.05271084337349394,0.8099658961727927,0.8417849898580122,0.8178784266984506,0.8099658961727927,0.40400925212027755,0.7956670467502851,0.5700981625975333,-0.5200564788065136,-0.02715731241112041,-0.29614547317198103,7,2676,5278
cora,124,config2.yml,many_clusters,0.1,30,sll_no_g,0.25,0.7888888888888889,0.7377777777777778,0.44814814814814813,0.72,-0.431924882629108,-0.02409638554216868,0.8099658961727927,0.8417849898580122,0.8178784266984506,0.8099658961727927,0.7747252747252747,0.8018992932862191,0.6898811338006705,-0.07966370978419171,-0.019537296608659552,-0.14825903527486806,7,1286,5278
cora,124,config2.yml,many_clusters,0.1,30,noise,0.25,0.7888888888888889,0.7377777777777778,0.6333333333333333,0.7255555555555555,-0.1971830985915493,-0.016566265060240996,0.8099658961727927,0.8417849898580122,0.8178784266984506,0.8099658961727927,0.45254515599343187,0.8178784266984506,0.6689655172413793,-0.4623981640849111,0.0,-0.1740818713450292,7,2622,5278
citeseer,124,config2.yml,many_clusters,0.1,30,sll,0.25,0.6295180722891566,0.6,0.3192771084337349,0.5776536312849162,-0.49282296650717705,-0.03724394785847296,0.7390550498482878,0.8724428399518652,0.7183882783882783,0.7390550498482878,0.3701657458563536,0.700339558573854,0.5230545454545454,-0.5757134692322348,-0.025123906329481176,-0.292265785123967,6,2389,4614
citeseer,124,config2.yml,many_clusters,0.1,30,sll_no_g,0.25,0.6295180722891566,0.6,0.5180722891566265,0.5843575418994413,-0.17703349282296643,-0.02607076350093107,0.7390550498482878,0.8724428399518652,0.7183882783882783,0.7390550498482878,0.7334669338677354,0.7045835662381219,0.6304120111731844,-0.15929514200815428,-0.01921622688656286,-0.14700263356214882,6,1238,4614
citeseer,124,config2.yml,many_clusters,0.1,30,noise,0.25,0.6295180722891566,0.6,0.37650602409638556,0.5653631284916201,-0.40191387559808606,-0.05772811918063318,0.7390550498482878,0.8724428399518652,0.7183882783882783,0.7390550498482878,0.3068074674712427,0.7183882783882783,0.5636496350364963,-0.6483351648708928,0.0,-0.23733741464563224,6,2270,4614
Polblogs,124,config2.yml,many_clusters,0.1,30,sll,0.25,0.8523489932885905,0.8283410138248847,0.174496644295302,0.7142857142857143,-0.7952755905511811,-0.13769123783031975,0.905773257553096,1.0,0.9103007258900795,0.905773257553096,1.0,0.8872955772174334,0.8126766249495357,0.0,-0.025272031558748916,-0.10278138797678402,2,3131,16715
Polblogs,124,config2.yml,many_clusters,0.1,30,sll_no_g,0.25,0.8523489932885905,0.8283410138248847,0.08053691275167785,0.663594470046083,-0.905511811023622,-0.19888734353268414,0.905773257553096,1.0,0.9103007258900795,0.905773257553096,1.0,0.9085567692816948,0.8781982792554687,0.0,-0.0019158027218746313,-0.03044357742700403,2,1078,16715
Polblogs,124,config2.yml,many_clusters,0.1,30,noise,0.25,0.8523489932885905,0.8283410138248847,0.9664429530201343,0.8410138248847926,0.13385826771653564,0.015299026425591201,0.905773257553096,1.0,0.9103007258900795,0.905773257553096,1.0,0.9103007258900795,0.9324295336565275,0.0,0.0,0.029429303505208514,2,8328,16715
BlogCatalog,124,config2.yml,many_clusters,0.1,30,sll,0.25,0.649325626204239,0.6980306345733042,0.5394990366088632,0.6936542669584245,-0.1691394658753709,-0.006269592476489092,0.40107602638826617,0.35317119694802096,0.4286864299688293,0.40107602638826617,0.2837164220437552,0.4280018674136321,0.3799478163700373,-0.1966603604837231,-0.0015968841263460142,-0.05267881555646883,6,13382,171743
BlogCatalog,124,config2.yml,many_clusters,0.1,30,sll_no_g,0.25,0.649325626204239,0.6980306345733042,0.603082851637765,0.7133479212253829,-0.07121661721068245,0.021943573667711585,0.40107602638826617,0.35317119694802096,0.4286864299688293,0.40107602638826617,0.3358440407620735,0.41982207720803627,0.36975863627156147,-0.04906163451516577,-0.0206779411268921,-0.07808342572534502,6,21356,171743
BlogCatalog,124,config2.yml,many_clusters,0.1,30,noise,0.25,0.649325626204239,0.6980306345733042,0.3892100192678227,0.6838074398249453,-0.4005934718100891,-0.02037617554858935,0.40107602638826617,0.35317119694802096,0.4286864299688293,0.40107602638826617,0.20083737702537544,0.4286864299688293,0.3352890769464159,-0.4313313804723031,0.0,-0.16402613248732165,6,85598,171743
flickr,124,config2.yml,many_clusters,0.1,30,sll,0.25,0.36988110964332893,0.5055555555555555,0.31836195508586523,0.5122222222222222,-0.13928571428571435,0.013186813186813272,0.2385854557892366,0.19186605291112346,0.2857401609439284,0.2385854557892366,0.18932659876717564,0.27559441933582235,0.2327384317209077,-0.013235557335013052,-0.03550688000801182,-0.024507043184954627,9,8384,239738
flickr,124,config2.yml,many_clusters,0.1,30,sll_no_g,0.25,0.36988110964332893,0.5055555555555555,0.36856010568031705,0.5211111111111111,-0.003571428571428546,0.03076923076923075,0.2385854557892366,0.19186605291112346,0.2857401609439284,0.2385854557892366,0.19098014222460755,0.21002457345021697,0.21655536053718255,-0.004617339404622507,-0.2649805587131636,-0.09233628755440632,9,35354,239738
flickr,124,config2.yml,many_clusters,0.1,30,noise,0.25,0.36988110964332893,0.5055555555555555,0.2655217965653897,0.4888888888888889,-0.2821428571428571,-0.03296703296703296,0.2385854557892366,0.19186605291112346,0.2857401609439284,0.2385854557892366,0.12584777113262224,0.2857401609439284,0.20035914282858827,-0.3440852656153943,0.0,-0.160220633878106,9,120009,239738
cora,124,config2.yml,large_cluster,0.1,30,sll,0.25,0.5925925925925926,0.7563676633444075,0.2518518518518518,0.7209302325581395,-0.5750000000000001,-0.046852122986822904,0.8099658961727927,0.7178770949720671,0.8360233918128654,0.8099658961727927,0.2956140350877193,0.8238738738738739,0.5725287211210706,-0.5882107993719708,-0.014532509566085304,-0.29314465729192735,7,2653,5278
cora,124,config2.yml,large_cluster,0.1,30,sll_no_g,0.25,0.5925925925925926,0.7563676633444075,0.37407407407407406,0.7386489479512734,-0.36874999999999997,-0.023426061493411525,0.8099658961727927,0.7178770949720671,0.8360233918128654,0.8099658961727927,0.6049661399548533,0.8205798997165904,0.6953245155336819,-0.15728452099674142,-0.018472559796187976,-0.14153852795631033,7,1224,5278
cora,124,config2.yml,large_cluster,0.1,30,noise,0.25,0.5925925925925926,0.7563676633444075,0.3851851851851852,0.7441860465116278,-0.35,-0.016105417276720504,0.8099658961727927,0.7178770949720671,0.8360233918128654,0.8099658961727927,0.24310692669804976,0.8360233918128654,0.600582721053965,-0.6613529970509657,0.0,-0.25850863117594675,7,2682,5278
citeseer,124,config2.yml,large_cluster,0.1,30,sll,0.25,0.5451807228915663,0.5880398671096345,0.16265060240963855,0.5825027685492802,-0.7016574585635359,-0.00941619585687376,0.7390550498482878,0.7906197654941374,0.7353529579879966,0.7390550498482878,0.5154639175257731,0.6978341257263603,0.5482233502538071,-0.34802551109557933,-0.05102152898696677,-0.25821039939264934,6,2411,4614
citeseer,124,config2.yml,large_cluster,0.1,30,sll_no_g,0.25,0.5451807228915663,0.5880398671096345,0.39759036144578314,0.5669988925802879,-0.2707182320441989,-0.03578154425612051,0.7390550498482878,0.7906197654941374,0.7353529579879966,0.7390550498482878,0.7568438003220612,0.7112731059619891,0.651576536903294,-0.04272087120281665,-0.03274597832841049,-0.1183653544657483,6,1189,4614
citeseer,124,config2.yml,large_cluster,0.1,30,noise,0.25,0.5451807228915663,0.5880398671096345,0.3614457831325302,0.5581395348837209,-0.3370165745856353,-0.050847457627118606,0.7390550498482878,0.7906197654941374,0.7353529579879966,0.7390550498482878,0.6177648343647616,0.7353529579879966,0.6852454169130692,-0.2186321904327062,0.0,-0.07280869394812287,6,2198,4614
Polblogs,124,config2.yml,large_cluster,0.1,30,sll,0.25,0.8993288590604027,0.8648648648648649,0.5100671140939598,0.8366627497062279,-0.43283582089552236,-0.03260869565217405,0.905773257553096,0.9294283697953423,0.9402567819424311,0.905773257553096,0.7603439011284255,0.9248375521287945,0.8235174448174143,-0.1819230767661511,-0.016398956231703846,-0.09081280778579393,2,3005,16715
Polblogs,124,config2.yml,large_cluster,0.1,30,sll_no_g,0.25,0.8993288590604027,0.8648648648648649,0.44966442953020136,0.8296122209165687,-0.5,-0.04076086956521747,0.905773257553096,0.9294283697953423,0.9402567819424311,0.905773257553096,0.9155709342560554,0.9343803140942283,0.876389907997968,-0.014909632618959369,-0.006249854253710275,-0.03244007185032791,2,1008,16715
Polblogs,124,config2.yml,large_cluster,0.1,30,noise,0.25,0.8993288590604027,0.8648648648648649,0.8590604026845637,0.8683901292596945,-0.044776119402985134,0.004076086956521709,0.905773257553096,0.9294283697953423,0.9402567819424311,0.905773257553096,0.5982439803112944,0.9402567819424311,0.8029804952881876,-0.35633126795664066,0.0,-0.11348619691267794,2,8292,16715
BlogCatalog,124,config2.yml,large_cluster,0.1,30,sll,0.25,0.7341040462427746,0.7073991031390134,0.6107899807321773,0.6905829596412556,-0.16797900262467194,-0.023771790808240878,0.40107602638826617,0.34347826086956523,0.4331988661142608,0.40107602638826617,0.29571872482449074,0.43209139183598116,0.38031649144148055,-0.13904675051097637,-0.0025565031788137476,-0.05175960062666303,6,13429,171743
BlogCatalog,124,config2.yml,large_cluster,0.1,30,sll_no_g,0.25,0.7341040462427746,0.7073991031390134,0.6666666666666666,0.6894618834080718,-0.09186351706036754,-0.02535657686212353,0.40107602638826617,0.34347826086956523,0.4331988661142608,0.40107602638826617,0.33251617296561115,0.41752138068397654,0.36908965880947825,-0.0319149394672081,-0.03619004262617147,-0.07975138246688213,6,22372,171743
BlogCatalog,124,config2.yml,large_cluster,0.1,30,noise,0.25,0.7341040462427746,0.7073991031390134,0.41040462427745666,0.6995515695067265,-0.4409448818897638,-0.011093502377179034,0.40107602638826617,0.34347826086956523,0.4331988661142608,0.40107602638826617,0.19177445209921562,0.4331988661142608,0.33301452592363656,-0.4416693166731697,0.0,-0.16969725435232547,6,85715,171743
flickr,124,config2.yml,large_cluster,0.1,30,sll,0.25,0.3910171730515192,0.5105438401775805,0.29722589167767505,0.4872364039955605,-0.23986486486486486,-0.04565217391304346,0.2385854557892366,0.19289786665313235,0.281080944436018,0.2385854557892366,0.19052777175996133,0.27148089248710905,0.2327755845856079,-0.012286786444522557,-0.03415404757576583,-0.02435132177026356,9,8169,239738
flickr,124,config2.yml,large_cluster,0.1,30,sll_no_g,0.25,0.3910171730515192,0.5105438401775805,0.32100396301188905,0.5260821309655938,-0.17905405405405406,0.030434782608695567,0.2385854557892366,0.19289786665313235,0.281080944436018,0.2385854557892366,0.19191290300868277,0.209649138035798,0.21698700120033962,-0.005106140682316292,-0.25413251169888507,-0.09052712168664959,9,34048,239738
flickr,124,config2.yml,large_cluster,0.1,30,noise,0.25,0.3910171730515192,0.5105438401775805,0.21796565389696165,0.5083240843507214,-0.4425675675675677,-0.004347826086956572,0.2385854557892366,0.19289786665313235,0.281080944436018,0.2385854557892366,0.12657925367496858,0.281080944436018,0.2004684912262613,-0.34380169220542733,0.0,-0.15976231424872503,9,119992,239738
