dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,f1_g0_base,f1_gX_base,f1_g0_lock,f1_gX_lock,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,num_classes,edges_modified,orig_edges
citeseer,123,config.yaml,bias,0.1,30,sll,0.25,0.5750708215297451,0.5707964601769911,0.2747875354107649,0.5221238938053098,-0.5221674876847291,-0.08527131782945731,0.7390550498482878,0.904,0.7319919517102615,0.7390550498482878,0.1855072463768116,0.7100103199174407,0.5244632685847817,-0.7947928690521996,-0.03002988180602521,-0.2903596711876298,6,2359,4614
citeseer,123,config.yaml,bias,0.1,30,sll_no_g,0.25,0.5637393767705382,0.5785398230088495,0.3881019830028329,0.5530973451327433,-0.3115577889447235,-0.0439770554493308,0.7390550498482878,0.904,0.7319919517102615,0.7390550498482878,0.4878048780487805,0.7093867334167709,0.628893190216435,-0.4603928340168358,-0.030881785299243625,-0.14905771857518157,6,1193,4614
citeseer,123,config.yaml,bias,0.1,30,noise,0.25,0.5864022662889519,0.5652654867256637,0.4390934844192634,0.5719026548672567,-0.2512077294685992,0.011741682974559804,0.7390550498482878,0.904,0.7319919517102615,0.7390550498482878,0.24387646432374868,0.7319919517102615,0.5690679808667923,-0.7302251500843489,0.0,-0.23000596371865697,6,2289,4614
citeseer,123,config.yaml,bias,0.1,30,heuristic,0.25,0.5892351274787535,0.5796460176991151,0.13031161473087818,0.5597345132743363,-0.7788461538461539,-0.0343511450381679,0.7390550498482878,0.904,0.7319919517102615,0.7390550498482878,nan,0.7319919517102615,0.7319919517102615,nan,0.0,-0.009556931028989255,6,886,4614
Polblogs,123,config.yaml,bias,0.1,30,sll,0.25,0.7914110429447851,0.8323494687131051,0.4785276073619632,0.8181818181818182,-0.3953488372093022,-0.01702127659574466,0.905773257553096,0.9413919413919414,0.9041147602869007,0.905773257553096,0.5469506292352372,0.8923833975181857,0.7938888102984863,-0.41899796972288034,-0.012975523997630916,-0.12352368136464997,2,4504,16715
Polblogs,123,config.yaml,bias,0.1,30,sll_no_g,0.25,0.785276073619632,0.833530106257379,0.5030674846625767,0.8181818181818182,-0.3593750000000001,-0.018413597733711005,0.905773257553096,0.9413919413919414,0.9041147602869007,0.905773257553096,0.8679245283018868,0.8920392584514721,0.8701888060955796,-0.07804125981939647,-0.013356160485198484,-0.03928626856752887,2,1138,16715
Polblogs,123,config.yaml,bias,0.1,30,noise,0.25,0.7730061349693251,0.8276269185360094,0.8098159509202454,0.833530106257379,0.04761904761904763,0.007132667617689031,0.905773257553096,0.9413919413919414,0.9041147602869007,0.905773257553096,0.6011087008917811,0.9041147602869007,0.8031932093775263,-0.36146818932507296,0.0,-0.11325135437613267,2,8387,16715
Polblogs,123,config.yaml,bias,0.1,30,heuristic,0.25,0.7668711656441717,0.8158205430932702,0.27607361963190186,0.8288075560802833,-0.6399999999999999,0.01591895803183806,0.905773257553096,0.9413919413919414,0.9041147602869007,0.905773257553096,nan,0.9041147602869007,0.9041147602869007,nan,0.0,-0.0018310291812717254,2,3470,16715
BlogCatalog,123,config.yaml,bias,0.1,30,sll,0.25,0.7120141342756183,0.699205448354143,0.2703180212014134,0.7003405221339387,-0.6203473945409429,0.0016233766233766632,0.40107602638826617,0.5123689727463312,0.3999525630762845,0.40107602638826617,0.1909256311121219,0.39807374229716475,0.3152475588113424,-0.6273669147279781,-0.00469760904810458,-0.21399550691129202,6,85947,171743
BlogCatalog,123,config.yaml,bias,0.1,30,sll_no_g,0.25,0.7402826855123676,0.6969353007945517,0.5318021201413428,0.6787741203178207,-0.28162291169451087,-0.026058631921824102,0.40107602638826617,0.5123689727463312,0.3999525630762845,0.40107602638826617,0.37387264279857885,0.40070994209898453,0.3838533363698474,-0.27030584854778184,0.0018936721317011616,-0.042941210357325454,6,12865,171743
BlogCatalog,123,config.yaml,bias,0.1,30,noise,0.25,0.7632508833922261,0.6946651532349603,0.43462897526501765,0.681044267877412,-0.4305555555555556,-0.0196078431372549,0.40107602638826617,0.5123689727463312,0.3999525630762845,0.40107602638826617,0.21909022942853137,0.3999525630762845,0.3389328605831457,-0.5723975473101085,0.0,-0.15494111269807503,6,85823,171743
BlogCatalog,123,config.yaml,bias,0.1,30,heuristic,0.25,0.7438162544169611,0.7196367763904655,0.1166077738515901,0.7060158910329172,-0.8432304038004751,-0.01892744479495283,0.40107602638826617,0.5123689727463312,0.3999525630762845,0.40107602638826617,nan,0.3999525630762845,0.3999525630762845,nan,0.0,-0.002801123074092872,6,36827,171743
flickr,123,config.yaml,bias,0.1,30,sll,0.25,0.3980222496909765,0.48764044943820223,0.13102595797280595,0.49325842696629213,-0.670807453416149,0.011520737327188968,0.2385854557892366,0.2454434993924666,0.24131778828552422,0.2385854557892366,0.11969226509502996,0.24040601860497984,0.20131726743592362,-0.5123429001326254,-0.003778294534448422,-0.15620477882874478,9,94218,239738
flickr,123,config.yaml,bias,0.1,30,sll_no_g,0.25,0.3893695920889987,0.4910112359550562,0.31396786155747836,0.5168539325842697,-0.19365079365079352,0.05263157894736848,0.2385854557892366,0.2454434993924666,0.24131778828552422,0.2385854557892366,0.21956574774335202,0.24561216945685088,0.23596533423756613,-0.10543262181792719,0.017795543386323442,-0.010981899726465493,9,13972,239738
flickr,123,config.yaml,bias,0.1,30,noise,0.25,0.41409147095179233,0.49775280898876406,0.13473423980222496,0.47191011235955055,-0.6746268656716418,-0.051918735891647916,0.2385854557892366,0.2454434993924666,0.24131778828552422,0.2385854557892366,0.14251714501322674,0.24131778828552422,0.20616557405451325,-0.41934846363422973,0.0,-0.13588373032831752,9,119956,239738
flickr,123,config.yaml,bias,0.1,30,heuristic,0.25,0.4079110012360939,0.449438202247191,0.08405438813349815,0.45393258426966293,-0.793939393939394,0.010000000000000049,0.2385854557892366,0.2454434993924666,0.24131778828552422,0.2385854557892366,nan,0.24131778828552422,0.24131778828552422,nan,0.0,0.011452217350169637,9,45807,239738
cora,123,config.yaml,many_clusters,0.1,30,sll,0.25,0.7333333333333333,0.7026726057906458,0.16666666666666666,0.7060133630289532,-0.7727272727272727,0.004754358161648251,0.8099658961727927,0.9227467811158798,0.8087406015037594,0.8099658961727927,0.4793621013133208,0.7972789115646258,0.5707583058584834,-0.4805052576464942,-0.01417226972136908,-0.2953304471763566,7,2616,5278
cora,123,config.yaml,many_clusters,0.1,30,sll_no_g,0.25,0.7814814814814814,0.7082405345211582,0.43333333333333335,0.6926503340757239,-0.4454976303317535,-0.02201257861635228,0.8099658961727927,0.9227467811158798,0.8087406015037594,0.8099658961727927,0.8115671641791045,0.792319576252483,0.6809862350627741,-0.12048767788962167,-0.020304440287458588,-0.15924085411431066,7,1333,5278
cora,123,config.yaml,many_clusters,0.1,30,noise,0.25,0.7037037037037037,0.678173719376392,0.6481481481481481,0.6982182628062361,-0.07894736842105267,0.029556650246305383,0.8099658961727927,0.9227467811158798,0.8087406015037594,0.8099658961727927,0.47962591850367403,0.8087406015037594,0.6765308736869075,-0.4802193534355533,0.0,-0.16474153185508825,7,2600,5278
cora,123,config.yaml,many_clusters,0.1,30,heuristic,0.25,0.7444444444444445,0.7360801781737194,0.06666666666666667,0.6848552338530067,-0.9104477611940299,-0.0695915279878971,0.8099658961727927,0.9227467811158798,0.8087406015037594,0.8099658961727927,nan,0.8087406015037594,0.8087406015037594,nan,0.0,-0.0015127731609725955,7,1022,5278
citeseer,123,config.yaml,many_clusters,0.1,30,sll,0.25,0.5512048192771084,0.5804988662131519,0.1807228915662651,0.5668934240362812,-0.6721311475409836,-0.023437500000000024,0.7390550498482878,0.8519012675116745,0.7217611478407653,0.7390550498482878,0.5795644891122278,0.6999197646429527,0.5428613224107666,-0.31968115177820716,-0.030261234292194447,-0.2654656476236725,6,2352,4614
citeseer,123,config.yaml,many_clusters,0.1,30,sll_no_g,0.25,0.5903614457831325,0.5714285714285714,0.2891566265060241,0.5498866213151927,-0.5102040816326531,-0.037698412698412676,0.7390550498482878,0.8519012675116745,0.7217611478407653,0.7390550498482878,0.8346456692913385,0.7063236870310825,0.6407851311446934,-0.02025539681463085,-0.021388600447482923,-0.13296698090861728,6,1267,4614
citeseer,123,config.yaml,many_clusters,0.1,30,noise,0.25,0.6234939759036144,0.5850340136054422,0.37650602409638556,0.562358276643991,-0.396135265700483,-0.038759689922480536,0.7390550498482878,0.8519012675116745,0.7217611478407653,0.7390550498482878,0.5993327773144287,0.7217611478407653,0.6656951326143982,-0.2964762465197114,0.0,-0.09926177657394926,6,2320,4614
citeseer,123,config.yaml,many_clusters,0.1,30,heuristic,0.25,0.49096385542168675,0.562358276643991,0.0572289156626506,0.5374149659863946,-0.8834355828220859,-0.0443548387096774,0.7390550498482878,0.8519012675116745,0.7217611478407653,0.7390550498482878,nan,0.7217611478407653,0.7217611478407653,nan,0.0,-0.023400018728067188,6,1059,4614
Polblogs,123,config.yaml,many_clusters,0.1,30,sll,0.25,0.9261744966442953,0.8651817116060961,0.610738255033557,0.8253223915592028,-0.34057971014492755,-0.046070460704607026,0.905773257553096,0.963758389261745,0.9306547012033449,0.905773257553096,0.8198589256646771,0.9077276908923643,0.8090113359162003,-0.1493107247629743,-0.02463535646608331,-0.10682797359053575,2,4254,16715
Polblogs,123,config.yaml,many_clusters,0.1,30,sll_no_g,0.25,0.9328859060402684,0.8522860492379836,0.7852348993288589,0.7702227432590856,-0.15827338129496415,-0.09628610729023382,0.905773257553096,0.963758389261745,0.9306547012033449,0.905773257553096,0.9573901464713716,0.9182697002245874,0.8874320068708846,-0.006607717101432012,-0.013307836905292136,-0.020249273788187788,2,756,16715
