dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,changes_g0,changes_gX,changes_g0gX,num_classes,edges_modified,orig_edges,d_g0_0,d_gX_0,d_g0_1,d_gX_1
flickr,124,config.yaml,many_clusters,0.1,30,sll_no_g,0.25,0.0,0.0,0.2385854557892366,0.19186605291112346,0.2857401609439284,0.2385854557892366,0.19083764808391562,0.20052697268062683,0.21136528597276583,-0.005360014508060058,-0.2982191512099806,-0.11408981208190966,1016.0,52580.0,44270.0,9,48933,239738,-0.1875,0.0,0.05714285746216774,0.0
flickr,124,config.yaml,many_clusters,0.1,30,noise,0.25,0.0,0.0,0.2385854557892366,0.19186605291112346,0.2857401609439284,0.2385854557892366,0.12564381742225927,0.2857401609439284,0.20033426687144276,-0.34514826611636074,0.0,-0.1603248982267572,239720.0,0.0,0.0,9,119860,239738,-0.5,0.0,-0.09341825544834137,0.0
flickr,124,config.yaml,many_clusters,0.1,30,heuristic,0.25,0.0,0.0,0.2385854557892366,0.19186605291112346,0.2857401609439284,0.2385854557892366,nan,0.2857401609439284,0.2857401609439284,nan,0.0,0.1976428319936974,118614.0,0.0,283568.0,9,201091,239738,-0.6315789222717285,0.0,-0.2075892835855484,0.0
Polblogs,124,config.yaml,many_clusters,0.1,30,sll_no_g,0.25,0.0,0.0,0.905773257553096,1.0,0.9103007258900795,0.905773257553096,1.0,0.8934794445956984,0.8052153477651738,0.0,-0.01847881784114088,-0.11101885482860767,78.0,6304.0,4538.0,2,5460,16715,-0.8571428656578064,0.0,-0.009831461124122143,0.0
Polblogs,124,config.yaml,many_clusters,0.1,30,noise,0.25,0.0,0.0,0.905773257553096,1.0,0.9103007258900795,0.905773257553096,1.0,0.9103007258900795,0.9322259993975645,0.0,0.0,0.029204595768182958,16552.0,0.0,0.0,2,8276,16715,0.013698630034923553,0.0,-0.005578800570219755,0.0
Polblogs,124,config.yaml,many_clusters,0.1,30,heuristic,0.25,0.0,0.0,0.905773257553096,1.0,0.9103007258900795,0.905773257553096,nan,0.9103007258900795,0.9103007258900795,nan,0.0,0.0049984566217093,2306.0,0.0,7980.0,2,5143,16715,0.1388888955116272,0.0,-0.12326870113611221,0.0
cora,124,config.yaml,large_cluster,0.1,30,sll_no_g,0.25,0.022222222222222143,0.03167420814479632,0.8099658961727927,0.7178770949720671,0.8360233918128654,0.8099658961727927,0.5915178571428571,0.8182224207235373,0.6740695359166794,-0.1760179266259034,-0.021292431842998776,-0.16778034840509146,180.0,406.0,1916.0,7,1251,5278,-0.43396225571632385,0.02222222276031971,-0.03206107020378113,0.031674209982156754
cora,124,config.yaml,large_cluster,0.1,30,noise,0.25,0.14285714285714302,-0.04303278688524598,0.8099658961727927,0.7178770949720671,0.8360233918128654,0.8099658961727927,0.24577731816614962,0.8360233918128654,0.604909858074415,-0.657633152126531,0.0,-0.2531662617738567,5190.0,0.0,0.0,7,2595,5278,-0.29411765933036804,0.1428571492433548,-0.010670731775462627,-0.04303278774023056
cora,124,config.yaml,large_cluster,0.1,30,heuristic,0.25,0.2051282051282051,-0.05691056910569116,0.8099658961727927,0.7178770949720671,0.8360233918128654,0.8099658961727927,nan,0.8360233918128654,0.8360233918128654,nan,0.0,0.032171102219486325,716.0,0.0,1290.0,7,1003,5278,-0.7301587462425232,0.20512820780277252,-0.01664145290851593,-0.056910570710897446
citeseer,124,config.yaml,large_cluster,0.1,30,sll_no_g,0.25,0.0,0.0012787723785165897,0.7390550498482878,0.7906197654941374,0.7353529579879966,0.7390550498482878,0.7568438003220612,0.7246868475991649,0.670936316074328,-0.04272087120281665,-0.014504749417225845,-0.09217004036159843,64.0,898.0,1144.0,6,1053,4614,-0.290909081697464,0.0,-0.0019379844889044762,0.0012787723680958152
citeseer,124,config.yaml,large_cluster,0.1,30,noise,0.25,0.0,-0.0025575447570334356,0.7390550498482878,0.7906197654941374,0.7353529579879966,0.7390550498482878,0.6141479099678456,0.7353529579879966,0.6832453051643192,-0.22320698675677153,0.0,-0.07551500351080091,4480.0,0.0,0.0,6,2240,4614,-0.48076921701431274,0.0,-0.036259543150663376,-0.0025575447361916304
citeseer,124,config.yaml,large_cluster,0.1,30,heuristic,0.25,0.0,0.0012787723785165897,0.7390550498482878,0.7906197654941374,0.7353529579879966,0.7390550498482878,nan,0.7353529579879966,0.7353529579879966,nan,0.0,-0.005009223414482055,1194.0,0.0,1036.0,6,1115,4614,-0.7547169923782349,0.0,-0.053949903696775436,0.0012787723680958152
flickr,124,config.yaml,large_cluster,0.1,30,sll_no_g,0.25,0.0,0.0,0.2385854557892366,0.19289786665313235,0.281080944436018,0.2385854557892366,0.1917421479825903,0.19780601158860453,0.21194629231924292,-0.0059913501926917205,-0.2962667320422684,-0.11165459932111864,1060.0,53548.0,39910.0,9,47259,239738,0.17241379618644714,0.0,-0.011520737782120705,0.0
flickr,124,config.yaml,large_cluster,0.1,30,noise,0.25,0.0,0.0,0.2385854557892366,0.19289786665313235,0.281080944436018,0.2385854557892366,0.12669949063589356,0.281080944436018,0.2006025689825358,-0.3431783729172924,0.0,-0.15920034471948025,239652.0,0.0,0.0,9,119826,239738,-0.3030303120613098,0.0,-0.01569506712257862,0.0
flickr,124,config.yaml,large_cluster,0.1,30,heuristic,0.25,0.0,0.0,0.2385854557892366,0.19289786665313235,0.281080944436018,0.2385854557892366,nan,0.281080944436018,0.281080944436018,nan,0.0,0.17811433017242,118218.0,0.0,282142.0,9,200180,239738,-0.8125,0.0,-0.2439560443162918,0.0
Polblogs,124,config.yaml,large_cluster,0.1,30,sll_no_g,0.25,0.0,0.0,0.905773257553096,0.9294283697953423,0.9402567819424311,0.905773257553096,0.898191560616209,0.9275919732441471,0.8299416536217447,-0.0336086246065542,-0.013469521243037881,-0.08372029456489682,160.0,4664.0,4068.0,2,4446,16715,-0.4367816150188446,0.0,0.07938718795776367,0.0
Polblogs,124,config.yaml,large_cluster,0.1,30,noise,0.25,0.0,0.0,0.905773257553096,0.9294283697953423,0.9402567819424311,0.905773257553096,0.6080474934036939,0.9402567819424311,0.8056648308418568,-0.3457833727008092,0.0,-0.11052261244903325,16658.0,0.0,0.0,2,8329,16715,-0.04597701132297516,0.0,-0.017543859779834747,0.0
Polblogs,124,config.yaml,large_cluster,0.1,30,heuristic,0.25,0.0,0.0,0.905773257553096,0.9294283697953423,0.9402567819424311,0.905773257553096,nan,0.9402567819424311,0.9402567819424311,nan,0.0,0.03807081308901825,2834.0,0.0,11280.0,2,7057,16715,-0.09090909361839294,0.0,-0.11277174204587936,0.0
